CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
125,01/01/2012,06/30/2012,06/05/2012,Alderman Will Burns,$500.00,8061,David,Dring,08/08/2012
147,01/01/2012,06/30/2012,02/18/2012,40th Ward Organization,$100.00,6922,Robert,Gamrath,08/10/2012
181,01/01/2012,06/30/2012,04/26/2012,Alderman Toni Foulkes,$1000.00,5858,Thomas,Livingston,08/14/2012
187,01/01/2012,06/30/2012,04/24/2012,Citizens for Tunney,$500.00,6039,Michael,Lufrano,08/14/2012
295,01/01/2012,06/30/2012,06/29/2012,Citizens for Alderman Reilly,$200.00,8482,Daniel,Shomon,08/22/2012
294,01/01/2012,06/30/2012,06/13/2012,Friends of Will Burns,$300.00,8482,Daniel,Shomon,08/22/2012
342,01/01/2012,06/30/2012,03/01/2012,Alderman Patrick J. O'Connor,$1500.00,7001,Meredith,O'Connor,08/23/2012
422,01/01/2012,06/30/2012,02/21/2012,Friends of Walter Burnett Jr.,$150.00,8621,Joseph,Pilewski,08/28/2012
354,01/01/2012,06/30/2012,06/26/2012,Citizens for Tim Cullerton,$1000.00,6116,Michael,Paulos,08/23/2012
353,01/01/2012,06/30/2012,06/26/2012,Neighbors for Harry Osterman,$1500.00,6116,Michael,Paulos,08/23/2012
356,01/01/2012,06/30/2012,05/24/2012,"Leslie Hairston, Alderman",$150.00,5728,Lewis,Powell,08/23/2012
302,01/01/2012,06/30/2012,06/01/2012,Friends of Will Burns,$250.00,6063,Judith,Roettig,08/22/2012
322,01/01/2012,06/30/2012,03/02/2012,Alderman Proco Joe Moreno,$250.00,7771,COURTNEY,NOTTAGE,08/23/2012
321,01/01/2012,06/30/2012,02/07/2012,Alderman Richard Mell,$300.00,7771,COURTNEY,NOTTAGE,08/23/2012
289,01/01/2012,06/30/2012,02/23/2012,Friends of Proco Joe Moreno,$250.00,8225,Jerome,Schain,08/22/2012
383,01/01/2012,06/30/2012,06/11/2012,33rd Ward Regular Democratic Organization,$1000.00,8581,John,"Kelly, Jr.",08/27/2012
546,01/01/2012,06/30/2012,02/04/2012,Alderman Joe Moreno,$250.00,8750,John,Dunn,08/30/2012
661,01/01/2012,06/30/2012,06/28/2012,Alderman Tim Cullerton,$250.00,9001,William,Smith,09/14/2012
627,01/01/2012,06/30/2012,06/13/2012,Citizens for Tim Cullerton,$250.00,7827,Marcus,Nunes,09/07/2012
721,01/01/2012,06/30/2012,05/09/2012,Friends of Leslie A Hairston,$150.00,9143,Joseph,Gattuso,09/25/2012
702,01/01/2012,06/30/2012,05/09/2012,Friends of Leslie A Hairston,$150.00,9062,Joseph,Gattuso,09/19/2012
482,01/01/2012,06/30/2012,05/01/2012,Friends of Will Burns,$100.00,5717,Joseph,McDermott,08/29/2012
582,01/01/2012,06/30/2012,05/31/2012,Will Burns,$300.00,8845,Elvin,Charity,09/05/2012
571,01/01/2012,06/30/2012,06/12/2012,The Burnham Committee,$1500.00,8801,John,"Kelly, Jr.",09/04/2012
628,01/01/2012,06/30/2012,06/27/2012,Friends of Proco Joe Moreno,$500.00,8904,Joseph,Gattuso,09/07/2012
525,01/01/2012,06/30/2012,05/01/2012,19th Ward Democratic Organization,$125.00,5891,Elizabeth,Lively,08/29/2012
522,01/01/2012,06/30/2012,04/27/2012,Citizens for Munoz,$150.00,5891,Elizabeth,Lively,08/29/2012
513,01/01/2012,06/30/2012,02/23/2012,Friends to Elect Toni Foulkes,$150.00,5891,Elizabeth,Lively,08/29/2012
623,01/01/2012,06/30/2012,06/18/2012,Neighbors for Harry Osterman,$500.00,8889,Jerry,Mickelson,09/06/2012
622,01/01/2012,06/30/2012,02/23/2012,Friends of Walter Burnett Jr.,$500.00,8889,Jerry,Mickelson,09/06/2012
767,01/01/2012,06/30/2012,05/30/2012,"Will Burns, Friends of",$1000.00,9300,Lawrence,White,09/27/2012
886,07/01/2012,09/30/2012,09/25/2012,Sandi Jackson,$500.00,5982,Adrienne,Alexander,10/05/2012
883,07/01/2012,09/30/2012,09/25/2012,Sandi Jackson,$500.00,5982,Adrienne,Alexander,10/05/2012
812,01/01/2012,06/30/2012,06/29/2012,Citizens for Alderman Reilly,$1000.00,9353,John,"Kelly, Jr.",10/01/2012
810,01/01/2012,06/30/2012,06/12/2012,The Burnham Committee,$1500.00,9353,John,"Kelly, Jr.",10/01/2012
824,01/01/2012,06/30/2012,04/07/2012,Citizens for Patrick O'Connor,$100.00,9382,Michael,Lufrano,10/03/2012
1073,07/01/2012,09/30/2012,07/29/2012,Friends of Mary O'Connor,$150.00,7759,Mary,Minaghan,10/15/2012
841,07/01/2012,09/30/2012,09/28/2012,Friends of Mary O'Connor,$115.00,6063,Judith,Roettig,10/04/2012
922,07/01/2012,09/30/2012,09/13/2012,Alderman James Cappleman,$250.00,7771,COURTNEY,NOTTAGE,10/09/2012
1042,01/01/2012,06/30/2012,06/05/2012,Alderman Richard Munoz,$250.00,9582,MICHAEL,KASPER,10/15/2012
1054,07/01/2012,09/30/2012,08/17/2012,Citizens for Pat Dowell,$100.00,5891,Elizabeth,Lively,10/15/2012
1047,07/01/2012,09/30/2012,07/23/2012,Citizens for Joe Moore,$125.00,5891,Elizabeth,Lively,10/15/2012
1157,07/01/2012,09/30/2012,07/26/2012,Danny Solis,$500.00,8750,John,Dunn,10/19/2012
1182,07/01/2012,09/30/2012,07/02/2012,Forty Third Ward Democrats,$500.00,5762,William,Griffin,10/22/2012
1167,07/01/2012,09/30/2012,10/01/2012,Friends of Leslie A Hairston,$450.00,7751,Peter,Cassel,10/21/2012
1290,07/01/2012,09/30/2012,08/30/2012,Citizens for Pat Dowell,$250.00,5716,Stacy,Davis Gates,11/01/2012
1128,07/01/2012,09/30/2012,09/13/2012,Alderman Ariel Reboyras,$1500.00,6116,Michael,Paulos,10/18/2012
1165,01/01/2012,06/30/2012,06/13/2012,Citizens for Tim Cullerton,$250.00,9721,Marcus,Nunes,10/20/2012
1821,10/01/2012,12/31/2012,10/22/2012,none,$0.00,9209,Jean-Francois,Decaux,01/15/2013
1822,10/01/2012,12/31/2012,12/13/2012,Carrie Austin,$500.00,8182,Darryl,Denham,01/15/2013
1447,07/01/2012,09/30/2012,08/30/2012,Citizens for Deborah Graham,$500.00,10101,Stacy,Davis Gates,12/13/2012
1701,10/01/2012,12/31/2012,10/25/2012,Alderman John Arena,$100.00,6006,William,Hood,01/09/2013
1511,01/01/2012,06/30/2012,06/05/2012,Alderman Tom Tunney,$250.00,10282,COURTNEY,NOTTAGE,12/21/2012
1942,10/01/2012,12/31/2012,11/07/2012,23rd Ward Regular Democratic Party Organization,$500.00,5762,William,Griffin,01/18/2013
1503,01/01/2012,06/30/2012,06/05/2012,Alderman Will Burns,$500.00,10281,MICHAEL,KASPER,12/21/2012
1401,07/01/2012,09/30/2012,08/29/2012,Danny Solis for Alderman Committee,$100.00,10064,Terrance,Diamond,12/11/2012
1405,07/01/2012,09/30/2012,09/19/2012,14th Ward Democratic Organization,$500.00,10071,Jeanette,Sublett,12/11/2012
1423,07/01/2012,09/30/2012,09/13/2012,Alderman Carrie Austin,$500.00,10081,MICHAEL,KASPER,12/12/2012
1422,07/01/2012,09/30/2012,09/13/2012,"Alderman Walter Burnett, Jr.",$300.00,10081,MICHAEL,KASPER,12/12/2012
1421,07/01/2012,09/30/2012,09/13/2012,Alderman James Cappleman,$250.00,10081,MICHAEL,KASPER,12/12/2012
1803,10/01/2012,12/31/2012,10/16/2012,Citizens for Ervin,$250.00,5891,Elizabeth,Lively,01/14/2013
2086,10/01/2012,12/31/2012,10/05/2012,Citizens for Patrick J O'Connore,$500.00,8124,Stephen,Friedman,01/30/2013
2002,10/01/2012,12/31/2012,10/10/2012,Citizens for Will Burns,$1000.00,11462,Paul,Rosenfeld,01/28/2013
1981,10/01/2012,12/31/2012,12/06/2012,Ald Bob Fioretti (for fundraiser,$500.00,9227,Arnold,Harris,01/22/2013
2105,10/01/2012,12/31/2012,10/10/2012,Rey Colon,$250.00,9910,Jerome,Schain,01/31/2013
2033,10/01/2012,12/31/2012,12/21/2012,Alderman Carrie Austin,$500.00,5788,John,Sterling,01/28/2013
2186,10/01/2012,12/31/2012,11/28/2012,Citizens for Pat Dowell,$500.00,11806,Stephen,Friedman,02/11/2013
2452,01/01/2013,03/31/2013,02/20/2013,11th Ward Democratic Party Campaign Committee,$600.00,11022,Elizabeth,Lively,04/12/2013
2447,01/01/2013,03/31/2013,02/01/2013,Friends of Leslie Hairston,$150.00,11022,Elizabeth,Lively,04/12/2013
2550,01/01/2013,03/31/2013,02/21/2013,"Alderman Proco ""Joe"" Moreno",$300.00,11509,MICHAEL,KASPER,04/19/2013
2548,01/01/2013,03/31/2013,02/21/2013,Alderman Jason Ervin,$300.00,11509,MICHAEL,KASPER,04/19/2013
2542,01/01/2013,03/31/2013,02/25/2013,CITIZENS TO ELECT JOHN ARENA,$250.00,12773,William,Banks,04/18/2013
2541,01/01/2013,03/31/2013,01/17/2013,George A. Cardenas,$750.00,11223,Bill,McManus,04/18/2013
2610,01/01/2013,03/31/2013,02/21/2013,Alderman Richard Mell,$300.00,12816,MICHAEL,KASPER,04/22/2013
2628,01/01/2013,03/31/2013,04/22/2013,none,$0.00,12801,Kevin,Mendoza,04/22/2013
2463,01/01/2013,03/31/2013,01/17/2013,George Cardenas,$250.00,11176,Daniel,Shomon,04/13/2013
2582,01/01/2013,03/31/2013,01/31/2013,Beale for Congress,$250.00,11603,Angelica,Marks,04/22/2013
2623,01/01/2013,03/31/2013,02/21/2013,Alderman Proco Joe Moreno,$300.00,12818,David,Dring,04/22/2013
2505,01/01/2013,03/31/2013,03/25/2013,FRIENDS OF MICHELLE HARRIS,$250.00,12729,William,Banks,04/17/2013
2365,01/01/2013,03/31/2013,02/21/2013,Alderman Richard F. Mell,$300.00,11513,David,Dring,04/09/2013
2522,01/01/2013,03/31/2013,02/06/2013,Friends of Leslie A. Hairston,$150.00,11883,Graham,Grady,04/18/2013
3406,04/01/2013,06/30/2013,05/31/2013,Preckwinkle for President,$500.00,13981,Mara,Georges,07/08/2013
3466,04/01/2013,06/30/2013,06/07/2013,11th Ward Democratic Party,$500.00,12985,David,Dring,07/10/2013
3463,04/01/2013,06/30/2013,06/07/2013,Alderman Joe Moore,$250.00,12985,David,Dring,07/10/2013
3462,04/01/2013,06/30/2013,06/06/2013,Alderman Mike Zalewski,$500.00,12985,David,Dring,07/10/2013
3461,04/01/2013,06/30/2013,05/09/2013,Alderman Will Burns,$1000.00,12985,David,Dring,07/10/2013
3253,04/01/2013,06/30/2013,06/14/2013,Pat Dowell,$500.00,13863,Elvin,Charity,07/01/2013
3501,04/01/2013,06/30/2013,06/24/2013,Friends for Proco Joe Moreno,$30.00,11022,Elizabeth,Lively,07/11/2013
3502,04/01/2013,06/30/2013,05/17/2013,Citizens for Reilly,$100.00,12621,Thomas,Wolf,07/11/2013
2901,01/01/2013,03/31/2013,02/21/2013,Alderman Jason Ervin,$300.00,13041,MICHAEL,KASPER,05/06/2013
3305,04/01/2013,06/30/2013,05/31/2013,Preckwinkle for President,$500.00,13361,Mara,Georges,07/03/2013
3515,04/01/2013,06/30/2013,05/01/2013,Friends of Will Burns,$300.00,14043,Graham,Grady,07/11/2013
2846,01/01/2013,03/31/2013,01/16/2013,Alderman George Cardenas,$500.00,12983,MICHAEL,KASPER,05/01/2013
2845,01/01/2013,03/31/2013,03/12/2013,Alderman Michelle Harris,$500.00,12983,MICHAEL,KASPER,05/01/2013
2842,01/01/2013,03/31/2013,02/21/2013,Alderman Brendan Reilly,$500.00,12983,MICHAEL,KASPER,05/01/2013
2859,01/01/2013,03/31/2013,02/21/2013,Alderman Jason Ervin,$300.00,12985,David,Dring,05/01/2013
2857,01/01/2013,03/31/2013,02/21/2013,Alderman Richard F. Mell,$300.00,12985,David,Dring,05/01/2013
2982,01/01/2013,03/31/2013,02/25/2013,Anthony Beale for Congress,$25.00,13281,Danielle,Cassel,05/20/2013
3381,04/01/2013,06/30/2013,06/30/2013,n/a,$0.00,11275,Steven,Ginsberg,07/06/2013
2661,01/01/2013,03/31/2013,02/08/2013,Citizens for Joe Moore,$1000.00,11344,Arnold,Harris,04/23/2013
3592,04/01/2013,06/30/2013,06/07/2013,Alderman Patrick J. O'Connor,$500.00,13041,MICHAEL,KASPER,07/16/2013
3590,04/01/2013,06/30/2013,06/07/2013,Alderman Joe Moore,$250.00,13041,MICHAEL,KASPER,07/16/2013
3588,04/01/2013,06/30/2013,05/09/2013,Alderman Will Burns,$1000.00,13041,MICHAEL,KASPER,07/16/2013
3641,04/01/2013,06/30/2013,04/26/2013,Alderman Will Burns,$1000.00,12181,Terry,Teele,07/18/2013
3771,04/01/2013,06/30/2013,05/06/2013,Friends of Will Burns,$500.00,10403,Michael,Sutton,07/19/2013
3602,04/01/2013,06/30/2013,06/15/2013,19th Ward Organization,$1000.00,11127,Thomas,Livingston,07/17/2013
3666,04/01/2013,06/30/2013,04/17/2013,Friends of Ameya Pawar,$500.00,14307,Jerome,Schain,07/18/2013
3888,01/01/2013,03/31/2013,01/17/2013,Friends of George Cardenas,$500.00,14442,Rolando,Acosta,07/29/2013
3924,01/01/2013,03/31/2013,02/26/2013,State Senator Toi Hutchinson,$250.00,14464,Bridget,O'Keefe,07/30/2013
3541,04/01/2013,06/30/2013,06/27/2013,Alderman Fioretti Event,$250.00,12163,Mitchell,Feldman,07/15/2013
3728,01/01/2013,03/31/2013,03/12/2013,Alderman Michelle Harris,$500.00,14322,COURTNEY,NOTTAGE,07/19/2013
3681,04/01/2013,06/30/2013,04/18/2013,Citizens for O'Connor,$100.00,13261,Michael,Lufrano,07/19/2013
3862,04/01/2013,06/30/2013,05/29/2013,Friends of Will Burns,$500.00,11822,Rolando,Acosta,07/26/2013
