date,recipient,amount,lobbyist,employer
06/05/2012,Burns,$500.00,David Dring,"Fletcher, O'Brien, Kasper & Nottage, PC"
02/18/2012,NA,$100.00,Robert Gamrath,Quarles & Brady LLP
04/26/2012,Foulkes,$1000.00,Thomas Livingston,CSX Corporation
04/24/2012,Tunney,$500.00,Michael Lufrano,"Chicago Cubs Baseball Club, LLC"
06/29/2012,Reilly,$200.00,Daniel Shomon,"Dan Shomon, Inc"
06/13/2012,Burns,$300.00,Daniel Shomon,"Dan Shomon, Inc"
03/01/2012,O'Connor,$1500.00,Meredith O'Connor,Jones Lang LaSalle
02/21/2012,Burnett,$150.00,Joseph Pilewski,Duff and Phelps LLC
06/26/2012,Cullerton,$1000.00,Michael Paulos,Comcast
06/26/2012,Osterman,$1500.00,Michael Paulos,Comcast
05/24/2012,Hairston,$150.00,Lewis Powell,Lewis Powell
06/01/2012,Burns,$250.00,Judith Roettig,Chicagoland Apartment Association
03/02/2012,Moreno,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, PC"
02/07/2012,Mell,$300.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, PC"
02/23/2012,Moreno,$250.00,Jerome Schain,"Schain, Burney, Banks & Kenny, Ltd"
06/11/2012,NA,$1000.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
02/04/2012,Moreno,$250.00,John Dunn,McGuire Woods Consulting LLC
06/28/2012,Cullerton,$250.00,William Smith,Cornerstone Government Affairs
06/13/2012,Cullerton,$250.00,Marcus Nunes,Chico & Nunes
05/09/2012,Hairston,$150.00,Joseph Gattuso,Shefsky & Froelich Ltd.
05/09/2012,Hairston,$150.00,Joseph Gattuso,Shefsky & Froelich Ltd.
05/01/2012,Burns,$100.00,Joseph McDermott,Chicago Teachers Union
05/31/2012,Burns,$300.00,Elvin Charity,"Charity & Associates, P.C."
06/12/2012,NA,$1500.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
06/27/2012,Moreno,$500.00,Joseph Gattuso,Shefsky & Froelich Ltd.
05/01/2012,NA,$125.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
04/27/2012,Munoz,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
02/23/2012,Foulkes,$150.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
06/18/2012,Osterman,$500.00,Jerry Mickelson,"Jam Productions, Ltd"
02/23/2012,Burnett,$500.00,Jerry Mickelson,"Jam Productions, Ltd"
05/30/2012,Burns,$1000.00,Lawrence White,Chapman & Cutler LLP
09/25/2012,Jackson,$500.00,Adrienne Alexander,AFSCME Council 31
09/25/2012,Jackson,$500.00,Adrienne Alexander,AFSCME Council 31
06/29/2012,Reilly,$1000.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
06/12/2012,NA,$1500.00,"John Kelly, Jr.","ALL-CIRCO, Inc."
04/07/2012,O'Connor,$100.00,Michael Lufrano,"Chicago Cubs Baseball Club, LLC"
07/29/2012,O'Connor,$150.00,Mary Minaghan,MKM Services
09/28/2012,O'Connor,$115.00,Judith Roettig,Chicagoland Apartment Association
09/13/2012,Cappleman,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, PC"
06/05/2012,Munoz,$250.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, PC"
08/17/2012,Dowell,$100.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
07/23/2012,Moore,$125.00,Elizabeth Lively,Metropolitan Chicago Healthcare Council
07/26/2012,Solis,$500.00,John Dunn,McGuire Woods Consulting LLC
07/02/2012,NA,$500.00,William Griffin,"Hill & Knowlton, Inc"
10/01/2012,Hairston,$450.00,Peter Cassel,Silliman Group LLC
08/30/2012,Dowell,$250.00,Stacy Davis Gates,Chicago Teachers Union
09/13/2012,Reboyras,$1500.00,Michael Paulos,Comcast
06/13/2012,Cullerton,$250.00,Marcus Nunes,Chico & Nunes
10/22/2012,NA,$0.00,Jean-Francois Decaux,JCDecaux SA
12/13/2012,Austin,$500.00,Darryl Denham,Xerox Corporation
08/30/2012,Graham,$500.00,Stacy Davis Gates,Chicago Teachers Union
10/25/2012,Arena,$100.00,William Hood,American Airlines / AMR Corp.
06/05/2012,Tunney,$250.00,COURTNEY NOTTAGE,"Fletcher, O'Brien, Kasper & Nottage, PC"
11/07/2012,NA,$500.00,William Griffin,"Hill & Knowlton, Inc"
06/05/2012,Burns,$500.00,MICHAEL KASPER,"Fletcher, O'Brien, Kasper & Nottage, PC"
